id,ip,layer,mac,dpid
7_3_5,10.7.3.5,3,00:00:00:07:03:05,0000000000070305
7_3_4,10.7.3.4,3,00:00:00:07:03:04,0000000000070304
7_3_7,10.7.3.7,3,00:00:00:07:03:07,0000000000070307
7_3_6,10.7.3.6,3,00:00:00:07:03:06,0000000000070306
8_7_4,10.8.7.4,3,00:00:00:08:07:04,0000000000080704
7_3_3,10.7.3.3,3,00:00:00:07:03:03,0000000000070303
7_3_2,10.7.3.2,3,00:00:00:07:03:02,0000000000070302
7_1_3,10.7.1.3,3,00:00:00:07:01:03,0000000000070103
7_1_2,10.7.1.2,3,00:00:00:07:01:02,0000000000070102
7_1_7,10.7.1.7,3,00:00:00:07:01:07,0000000000070107
7_1_6,10.7.1.6,3,00:00:00:07:01:06,0000000000070106
7_1_5,10.7.1.5,3,00:00:00:07:01:05,0000000000070105
7_1_4,10.7.1.4,3,00:00:00:07:01:04,0000000000070104
11_7_3,10.11.7.3,3,00:00:00:0b:07:03,00000000000b0703
7_1_9,10.7.1.9,3,00:00:00:07:01:09,0000000000070109
7_1_8,10.7.1.8,3,00:00:00:07:01:08,0000000000070108
11_7_2,10.11.7.2,3,00:00:00:0b:07:02,00000000000b0702
2_3_2,10.2.3.2,3,00:00:00:02:03:02,0000000000020302
2_3_3,10.2.3.3,3,00:00:00:02:03:03,0000000000020303
2_3_4,10.2.3.4,3,00:00:00:02:03:04,0000000000020304
2_3_5,10.2.3.5,3,00:00:00:02:03:05,0000000000020305
2_3_6,10.2.3.6,3,00:00:00:02:03:06,0000000000020306
2_3_7,10.2.3.7,3,00:00:00:02:03:07,0000000000020307
2_3_8,10.2.3.8,3,00:00:00:02:03:08,0000000000020308
2_3_9,10.2.3.9,3,00:00:00:02:03:09,0000000000020309
2_1_6,10.2.1.6,3,00:00:00:02:01:06,0000000000020106
2_1_7,10.2.1.7,3,00:00:00:02:01:07,0000000000020107
2_1_4,10.2.1.4,3,00:00:00:02:01:04,0000000000020104
2_1_5,10.2.1.5,3,00:00:00:02:01:05,0000000000020105
2_1_2,10.2.1.2,3,00:00:00:02:01:02,0000000000020102
2_1_3,10.2.1.3,3,00:00:00:02:01:03,0000000000020103
5_7_3,10.5.7.3,3,00:00:00:05:07:03,0000000000050703
5_7_2,10.5.7.2,3,00:00:00:05:07:02,0000000000050702
13_3_6,10.13.3.6,3,00:00:00:0d:03:06,00000000000d0306
5_7_7,10.5.7.7,3,00:00:00:05:07:07,0000000000050707
5_7_6,10.5.7.6,3,00:00:00:05:07:06,0000000000050706
2_1_8,10.2.1.8,3,00:00:00:02:01:08,0000000000020108
2_1_9,10.2.1.9,3,00:00:00:02:01:09,0000000000020109
15_2_8,10.15.2.8,3,00:00:00:0f:02:08,00000000000f0208
11_7_9,10.11.7.9,3,00:00:00:0b:07:09,00000000000b0709
13_4_4,10.13.4.4,3,00:00:00:0d:04:04,00000000000d0404
13_4_5,10.13.4.5,3,00:00:00:0d:04:05,00000000000d0405
11_7_8,10.11.7.8,3,00:00:00:0b:07:08,00000000000b0708
1_7_7,10.1.7.7,3,00:00:00:01:07:07,0000000000010707
1_7_6,10.1.7.6,3,00:00:00:01:07:06,0000000000010706
1_7_5,10.1.7.5,3,00:00:00:01:07:05,0000000000010705
1_7_4,10.1.7.4,3,00:00:00:01:07:04,0000000000010704
1_7_3,10.1.7.3,3,00:00:00:01:07:03,0000000000010703
1_7_2,10.1.7.2,3,00:00:00:01:07:02,0000000000010702
14_0_8,10.14.0.8,3,00:00:00:0e:00:08,00000000000e0008
1_7_9,10.1.7.9,3,00:00:00:01:07:09,0000000000010709
1_7_8,10.1.7.8,3,00:00:00:01:07:08,0000000000010708
1_1_5,10.1.1.5,3,00:00:00:01:01:05,0000000000010105
1_1_4,10.1.1.4,3,00:00:00:01:01:04,0000000000010104
1_1_7,10.1.1.7,3,00:00:00:01:01:07,0000000000010107
1_1_6,10.1.1.6,3,00:00:00:01:01:06,0000000000010106
9_6_5,10.9.6.5,3,00:00:00:09:06:05,0000000000090605
1_1_3,10.1.1.3,3,00:00:00:01:01:03,0000000000010103
1_1_2,10.1.1.2,3,00:00:00:01:01:02,0000000000010102
1_1_9,10.1.1.9,3,00:00:00:01:01:09,0000000000010109
1_1_8,10.1.1.8,3,00:00:00:01:01:08,0000000000010108
15_0_2,10.15.0.2,3,00:00:00:0f:00:02,00000000000f0002
14_0_3,10.14.0.3,3,00:00:00:0e:00:03,00000000000e0003
2_4_3,10.2.4.3,3,00:00:00:02:04:03,0000000000020403
2_4_2,10.2.4.2,3,00:00:00:02:04:02,0000000000020402
2_4_7,10.2.4.7,3,00:00:00:02:04:07,0000000000020407
2_4_6,10.2.4.6,3,00:00:00:02:04:06,0000000000020406
2_4_5,10.2.4.5,3,00:00:00:02:04:05,0000000000020405
2_4_4,10.2.4.4,3,00:00:00:02:04:04,0000000000020404
2_4_9,10.2.4.9,3,00:00:00:02:04:09,0000000000020409
2_4_8,10.2.4.8,3,00:00:00:02:04:08,0000000000020408
14_0_4,10.14.0.4,3,00:00:00:0e:00:04,00000000000e0004
15_0_3,10.15.0.3,3,00:00:00:0f:00:03,00000000000f0003
11_5_9,10.11.5.9,3,00:00:00:0b:05:09,00000000000b0509
11_5_8,10.11.5.8,3,00:00:00:0b:05:08,00000000000b0508
14_5_4,10.14.5.4,3,00:00:00:0e:05:04,00000000000e0504
1_5_3,10.1.5.3,3,00:00:00:01:05:03,0000000000010503
1_5_2,10.1.5.2,3,00:00:00:01:05:02,0000000000010502
1_5_5,10.1.5.5,3,00:00:00:01:05:05,0000000000010505
1_5_4,10.1.5.4,3,00:00:00:01:05:04,0000000000010504
1_5_7,10.1.5.7,3,00:00:00:01:05:07,0000000000010507
1_5_6,10.1.5.6,3,00:00:00:01:05:06,0000000000010506
1_5_9,10.1.5.9,3,00:00:00:01:05:09,0000000000010509
1_5_8,10.1.5.8,3,00:00:00:01:05:08,0000000000010508
15_0_5,10.15.0.5,3,00:00:00:0f:00:05,00000000000f0005
14_5_2,10.14.5.2,3,00:00:00:0e:05:02,00000000000e0502
11_4_7,10.11.4.7,3,00:00:00:0b:04:07,00000000000b0407
2_0_9,10.2.0.9,3,00:00:00:02:00:09,0000000000020009
2_0_8,10.2.0.8,3,00:00:00:02:00:08,0000000000020008
2_0_7,10.2.0.7,3,00:00:00:02:00:07,0000000000020007
2_0_6,10.2.0.6,3,00:00:00:02:00:06,0000000000020006
2_0_5,10.2.0.5,3,00:00:00:02:00:05,0000000000020005
2_0_4,10.2.0.4,3,00:00:00:02:00:04,0000000000020004
2_0_3,10.2.0.3,3,00:00:00:02:00:03,0000000000020003
2_0_2,10.2.0.2,3,00:00:00:02:00:02,0000000000020002
2_6_9,10.2.6.9,3,00:00:00:02:06:09,0000000000020609
2_6_8,10.2.6.8,3,00:00:00:02:06:08,0000000000020608
2_6_5,10.2.6.5,3,00:00:00:02:06:05,0000000000020605
2_6_4,10.2.6.4,3,00:00:00:02:06:04,0000000000020604
2_6_7,10.2.6.7,3,00:00:00:02:06:07,0000000000020607
2_6_6,10.2.6.6,3,00:00:00:02:06:06,0000000000020606
2_6_3,10.2.6.3,3,00:00:00:02:06:03,0000000000020603
2_6_2,10.2.6.2,3,00:00:00:02:06:02,0000000000020602
5_0_8,10.5.0.8,3,00:00:00:05:00:08,0000000000050008
5_0_9,10.5.0.9,3,00:00:00:05:00:09,0000000000050009
7_2_2,10.7.2.2,3,00:00:00:07:02:02,0000000000070202
14_3_7,10.14.3.7,3,00:00:00:0e:03:07,00000000000e0307
5_0_2,10.5.0.2,3,00:00:00:05:00:02,0000000000050002
5_0_3,10.5.0.3,3,00:00:00:05:00:03,0000000000050003
5_0_4,10.5.0.4,3,00:00:00:05:00:04,0000000000050004
5_0_5,10.5.0.5,3,00:00:00:05:00:05,0000000000050005
5_0_6,10.5.0.6,3,00:00:00:05:00:06,0000000000050006
5_0_7,10.5.0.7,3,00:00:00:05:00:07,0000000000050007
1_2_2,10.1.2.2,3,00:00:00:01:02:02,0000000000010202
1_2_3,10.1.2.3,3,00:00:00:01:02:03,0000000000010203
14_3_5,10.14.3.5,3,00:00:00:0e:03:05,00000000000e0305
1_2_6,10.1.2.6,3,00:00:00:01:02:06,0000000000010206
1_2_7,10.1.2.7,3,00:00:00:01:02:07,0000000000010207
1_2_4,10.1.2.4,3,00:00:00:01:02:04,0000000000010204
1_2_5,10.1.2.5,3,00:00:00:01:02:05,0000000000010205
5_2_6,10.5.2.6,3,00:00:00:05:02:06,0000000000050206
5_2_7,10.5.2.7,3,00:00:00:05:02:07,0000000000050207
1_2_8,10.1.2.8,3,00:00:00:01:02:08,0000000000010208
1_2_9,10.1.2.9,3,00:00:00:01:02:09,0000000000010209
5_2_2,10.5.2.2,3,00:00:00:05:02:02,0000000000050202
5_2_3,10.5.2.3,3,00:00:00:05:02:03,0000000000050203
13_4_8,10.13.4.8,3,00:00:00:0d:04:08,00000000000d0408
7_2_3,10.7.2.3,3,00:00:00:07:02:03,0000000000070203
13_4_9,10.13.4.9,3,00:00:00:0d:04:09,00000000000d0409
5_4_8,10.5.4.8,3,00:00:00:05:04:08,0000000000050408
5_4_9,10.5.4.9,3,00:00:00:05:04:09,0000000000050409
5_4_4,10.5.4.4,3,00:00:00:05:04:04,0000000000050404
5_4_5,10.5.4.5,3,00:00:00:05:04:05,0000000000050405
5_4_6,10.5.4.6,3,00:00:00:05:04:06,0000000000050406
5_4_7,10.5.4.7,3,00:00:00:05:04:07,0000000000050407
13_4_6,10.13.4.6,3,00:00:00:0d:04:06,00000000000d0406
13_4_7,10.13.4.7,3,00:00:00:0d:04:07,00000000000d0407
5_4_2,10.5.4.2,3,00:00:00:05:04:02,0000000000050402
5_4_3,10.5.4.3,3,00:00:00:05:04:03,0000000000050403
9_3_8,10.9.3.8,3,00:00:00:09:03:08,0000000000090308
14_1_2,10.14.1.2,3,00:00:00:0e:01:02,00000000000e0102
8_6_6,10.8.6.6,3,00:00:00:08:06:06,0000000000080606
14_1_5,10.14.1.5,3,00:00:00:0e:01:05,00000000000e0105
14_6_3,10.14.6.3,3,00:00:00:0e:06:03,00000000000e0603
14_6_2,10.14.6.2,3,00:00:00:0e:06:02,00000000000e0602
14_6_7,10.14.6.7,3,00:00:00:0e:06:07,00000000000e0607
14_1_6,10.14.1.6,3,00:00:00:0e:01:06,00000000000e0106
14_6_5,10.14.6.5,3,00:00:00:0e:06:05,00000000000e0605
14_6_4,10.14.6.4,3,00:00:00:0e:06:04,00000000000e0604
14_6_9,10.14.6.9,3,00:00:00:0e:06:09,00000000000e0609
14_1_7,10.14.1.7,3,00:00:00:0e:01:07,00000000000e0107
8_6_5,10.8.6.5,3,00:00:00:08:06:05,0000000000080605
14_1_8,10.14.1.8,3,00:00:00:0e:01:08,00000000000e0108
14_4_7,10.14.4.7,3,00:00:00:0e:04:07,00000000000e0407
14_4_6,10.14.4.6,3,00:00:00:0e:04:06,00000000000e0406
14_4_3,10.14.4.3,3,00:00:00:0e:04:03,00000000000e0403
14_1_9,10.14.1.9,3,00:00:00:0e:01:09,00000000000e0109
14_4_9,10.14.4.9,3,00:00:00:0e:04:09,00000000000e0409
11_6_4,10.11.6.4,3,00:00:00:0b:06:04,00000000000b0604
5_6_2,10.5.6.2,3,00:00:00:05:06:02,0000000000050602
5_6_3,10.5.6.3,3,00:00:00:05:06:03,0000000000050603
6_2_7,10.6.2.7,3,00:00:00:06:02:07,0000000000060207
6_2_6,10.6.2.6,3,00:00:00:06:02:06,0000000000060206
5_6_6,10.5.6.6,3,00:00:00:05:06:06,0000000000050606
5_6_7,10.5.6.7,3,00:00:00:05:06:07,0000000000050607
5_6_4,10.5.6.4,3,00:00:00:05:06:04,0000000000050604
5_6_5,10.5.6.5,3,00:00:00:05:06:05,0000000000050605
9_4_8,10.9.4.8,3,00:00:00:09:04:08,0000000000090408
9_4_9,10.9.4.9,3,00:00:00:09:04:09,0000000000090409
5_6_8,10.5.6.8,3,00:00:00:05:06:08,0000000000050608
5_6_9,10.5.6.9,3,00:00:00:05:06:09,0000000000050609
6_2_9,10.6.2.9,3,00:00:00:06:02:09,0000000000060209
6_2_8,10.6.2.8,3,00:00:00:06:02:08,0000000000060208
13_6_2,10.13.6.2,3,00:00:00:0d:06:02,00000000000d0602
11_6_3,10.11.6.3,3,00:00:00:0b:06:03,00000000000b0603
2_2_9,10.2.2.9,3,00:00:00:02:02:09,0000000000020209
2_2_8,10.2.2.8,3,00:00:00:02:02:08,0000000000020208
9_6_4,10.9.6.4,3,00:00:00:09:06:04,0000000000090604
8_6_4,10.8.6.4,3,00:00:00:08:06:04,0000000000080604
9_6_2,10.9.6.2,3,00:00:00:09:06:02,0000000000090602
9_6_3,10.9.6.3,3,00:00:00:09:06:03,0000000000090603
13_0_8,10.13.0.8,3,00:00:00:0d:00:08,00000000000d0008
13_0_9,10.13.0.9,3,00:00:00:0d:00:09,00000000000d0009
13_0_6,10.13.0.6,3,00:00:00:0d:00:06,00000000000d0006
8_6_3,10.8.6.3,3,00:00:00:08:06:03,0000000000080603
2_2_3,10.2.2.3,3,00:00:00:02:02:03,0000000000020203
2_2_2,10.2.2.2,3,00:00:00:02:02:02,0000000000020202
2_2_5,10.2.2.5,3,00:00:00:02:02:05,0000000000020205
2_2_4,10.2.2.4,3,00:00:00:02:02:04,0000000000020204
2_2_7,10.2.2.7,3,00:00:00:02:02:07,0000000000020207
2_2_6,10.2.2.6,3,00:00:00:02:02:06,0000000000020206
15_2_9,10.15.2.9,3,00:00:00:0f:02:09,00000000000f0209
6_0_9,10.6.0.9,3,00:00:00:06:00:09,0000000000060009
6_0_8,10.6.0.8,3,00:00:00:06:00:08,0000000000060008
13_2_4,10.13.2.4,3,00:00:00:0d:02:04,00000000000d0204
13_2_5,10.13.2.5,3,00:00:00:0d:02:05,00000000000d0205
13_2_6,10.13.2.6,3,00:00:00:0d:02:06,00000000000d0206
13_2_7,10.13.2.7,3,00:00:00:0d:02:07,00000000000d0207
6_0_3,10.6.0.3,3,00:00:00:06:00:03,0000000000060003
6_0_2,10.6.0.2,3,00:00:00:06:00:02,0000000000060002
6_0_7,10.6.0.7,3,00:00:00:06:00:07,0000000000060007
6_0_6,10.6.0.6,3,00:00:00:06:00:06,0000000000060006
6_0_5,10.6.0.5,3,00:00:00:06:00:05,0000000000060005
6_0_4,10.6.0.4,3,00:00:00:06:00:04,0000000000060004
9_6_9,10.9.6.9,3,00:00:00:09:06:09,0000000000090609
11_1_5,10.11.1.5,3,00:00:00:0b:01:05,00000000000b0105
11_1_4,10.11.1.4,3,00:00:00:0b:01:04,00000000000b0104
11_1_7,10.11.1.7,3,00:00:00:0b:01:07,00000000000b0107
11_1_6,10.11.1.6,3,00:00:00:0b:01:06,00000000000b0106
14_2_3,10.14.2.3,3,00:00:00:0e:02:03,00000000000e0203
11_4_6,10.11.4.6,3,00:00:00:0b:04:06,00000000000b0406
1_6_8,10.1.6.8,3,00:00:00:01:06:08,0000000000010608
1_6_9,10.1.6.9,3,00:00:00:01:06:09,0000000000010609
1_6_6,10.1.6.6,3,00:00:00:01:06:06,0000000000010606
1_6_7,10.1.6.7,3,00:00:00:01:06:07,0000000000010607
1_6_4,10.1.6.4,3,00:00:00:01:06:04,0000000000010604
1_6_5,10.1.6.5,3,00:00:00:01:06:05,0000000000010605
1_6_2,10.1.6.2,3,00:00:00:01:06:02,0000000000010602
1_6_3,10.1.6.3,3,00:00:00:01:06:03,0000000000010603
14_2_9,10.14.2.9,3,00:00:00:0e:02:09,00000000000e0209
14_2_8,10.14.2.8,3,00:00:00:0e:02:08,00000000000e0208
11_7_7,10.11.7.7,3,00:00:00:0b:07:07,00000000000b0707
11_4_8,10.11.4.8,3,00:00:00:0b:04:08,00000000000b0408
11_7_5,10.11.7.5,3,00:00:00:0b:07:05,00000000000b0705
11_7_4,10.11.7.4,3,00:00:00:0b:07:04,00000000000b0704
1_0_8,10.1.0.8,3,00:00:00:01:00:08,0000000000010008
1_0_9,10.1.0.9,3,00:00:00:01:00:09,0000000000010009
11_4_9,10.11.4.9,3,00:00:00:0b:04:09,00000000000b0409
1_0_4,10.1.0.4,3,00:00:00:01:00:04,0000000000010004
1_0_5,10.1.0.5,3,00:00:00:01:00:05,0000000000010005
1_0_6,10.1.0.6,3,00:00:00:01:00:06,0000000000010006
1_0_7,10.1.0.7,3,00:00:00:01:00:07,0000000000010007
1_0_2,10.1.0.2,3,00:00:00:01:00:02,0000000000010002
1_0_3,10.1.0.3,3,00:00:00:01:00:03,0000000000010003
14_0_9,10.14.0.9,3,00:00:00:0e:00:09,00000000000e0009
8_0_5,10.8.0.5,3,00:00:00:08:00:05,0000000000080005
6_6_3,10.6.6.3,3,00:00:00:06:06:03,0000000000060603
6_6_2,10.6.6.2,3,00:00:00:06:06:02,0000000000060602
6_6_5,10.6.6.5,3,00:00:00:06:06:05,0000000000060605
6_6_4,10.6.6.4,3,00:00:00:06:06:04,0000000000060604
6_6_7,10.6.6.7,3,00:00:00:06:06:07,0000000000060607
6_6_6,10.6.6.6,3,00:00:00:06:06:06,0000000000060606
6_6_9,10.6.6.9,3,00:00:00:06:06:09,0000000000060609
6_6_8,10.6.6.8,3,00:00:00:06:06:08,0000000000060608
10_7_7,10.10.7.7,3,00:00:00:0a:07:07,00000000000a0707
14_0_2,10.14.0.2,3,00:00:00:0e:00:02,00000000000e0002
14_0_5,10.14.0.5,3,00:00:00:0e:00:05,00000000000e0005
8_0_7,10.8.0.7,3,00:00:00:08:00:07,0000000000080007
14_0_7,10.14.0.7,3,00:00:00:0e:00:07,00000000000e0007
14_0_6,10.14.0.6,3,00:00:00:0e:00:06,00000000000e0006
6_4_7,10.6.4.7,3,00:00:00:06:04:07,0000000000060407
6_4_6,10.6.4.6,3,00:00:00:06:04:06,0000000000060406
6_4_5,10.6.4.5,3,00:00:00:06:04:05,0000000000060405
6_4_4,10.6.4.4,3,00:00:00:06:04:04,0000000000060404
6_4_3,10.6.4.3,3,00:00:00:06:04:03,0000000000060403
6_4_2,10.6.4.2,3,00:00:00:06:04:02,0000000000060402
11_5_3,10.11.5.3,3,00:00:00:0b:05:03,00000000000b0503
11_5_2,10.11.5.2,3,00:00:00:0b:05:02,00000000000b0502
11_5_5,10.11.5.5,3,00:00:00:0b:05:05,00000000000b0505
11_5_4,10.11.5.4,3,00:00:00:0b:05:04,00000000000b0504
6_4_9,10.6.4.9,3,00:00:00:06:04:09,0000000000060409
6_4_8,10.6.4.8,3,00:00:00:06:04:08,0000000000060408
9_3_3,10.9.3.3,3,00:00:00:09:03:03,0000000000090303
9_3_2,10.9.3.2,3,00:00:00:09:03:02,0000000000090302
2_5_8,10.2.5.8,3,00:00:00:02:05:08,0000000000020508
2_5_9,10.2.5.9,3,00:00:00:02:05:09,0000000000020509
9_3_7,10.9.3.7,3,00:00:00:09:03:07,0000000000090307
8_0_3,10.8.0.3,3,00:00:00:08:00:03,0000000000080003
9_3_5,10.9.3.5,3,00:00:00:09:03:05,0000000000090305
9_3_4,10.9.3.4,3,00:00:00:09:03:04,0000000000090304
2_5_2,10.2.5.2,3,00:00:00:02:05:02,0000000000020502
2_5_3,10.2.5.3,3,00:00:00:02:05:03,0000000000020503
9_3_9,10.9.3.9,3,00:00:00:09:03:09,0000000000090309
8_0_2,10.8.0.2,3,00:00:00:08:00:02,0000000000080002
2_5_6,10.2.5.6,3,00:00:00:02:05:06,0000000000020506
2_5_7,10.2.5.7,3,00:00:00:02:05:07,0000000000020507
2_5_4,10.2.5.4,3,00:00:00:02:05:04,0000000000020504
2_5_5,10.2.5.5,3,00:00:00:02:05:05,0000000000020505
12_1_5,10.12.1.5,3,00:00:00:0c:01:05,00000000000c0105
11_3_3,10.11.3.3,3,00:00:00:0b:03:03,00000000000b0303
14_6_8,10.14.6.8,3,00:00:00:0e:06:08,00000000000e0608
11_3_2,10.11.3.2,3,00:00:00:0b:03:02,00000000000b0302
8_0_9,10.8.0.9,3,00:00:00:08:00:09,0000000000080009
8_0_8,10.8.0.8,3,00:00:00:08:00:08,0000000000080008
1_4_8,10.1.4.8,3,00:00:00:01:04:08,0000000000010408
1_4_9,10.1.4.9,3,00:00:00:01:04:09,0000000000010409
8_6_7,10.8.6.7,3,00:00:00:08:06:07,0000000000080607
11_3_7,10.11.3.7,3,00:00:00:0b:03:07,00000000000b0307
11_3_6,10.11.3.6,3,00:00:00:0b:03:06,00000000000b0306
11_3_5,10.11.3.5,3,00:00:00:0b:03:05,00000000000b0305
11_3_4,10.11.3.4,3,00:00:00:0b:03:04,00000000000b0304
12_5_2,10.12.5.2,3,00:00:00:0c:05:02,00000000000c0502
1_4_2,10.1.4.2,3,00:00:00:01:04:02,0000000000010402
1_4_3,10.1.4.3,3,00:00:00:01:04:03,0000000000010403
1_4_4,10.1.4.4,3,00:00:00:01:04:04,0000000000010404
1_4_5,10.1.4.5,3,00:00:00:01:04:05,0000000000010405
1_4_6,10.1.4.6,3,00:00:00:01:04:06,0000000000010406
1_4_7,10.1.4.7,3,00:00:00:01:04:07,0000000000010407
12_1_8,10.12.1.8,3,00:00:00:0c:01:08,00000000000c0108
12_1_9,10.12.1.9,3,00:00:00:0c:01:09,00000000000c0109
11_3_9,10.11.3.9,3,00:00:00:0b:03:09,00000000000b0309
2_7_4,10.2.7.4,3,00:00:00:02:07:04,0000000000020704
2_7_5,10.2.7.5,3,00:00:00:02:07:05,0000000000020705
2_7_6,10.2.7.6,3,00:00:00:02:07:06,0000000000020706
2_7_7,10.2.7.7,3,00:00:00:02:07:07,0000000000020707
2_7_2,10.2.7.2,3,00:00:00:02:07:02,0000000000020702
2_7_3,10.2.7.3,3,00:00:00:02:07:03,0000000000020703
9_7_7,10.9.7.7,3,00:00:00:09:07:07,0000000000090707
